ADM1|31||1626229|Sulawesi Utara|1.25|124.83333|Amihanan nga Sulawesi,Arewacin Sulawesi,Bac Sulawesi,Baek Sulawesi,Báe̤k Sulawesi,Bắc Sulawesi,Celebes Polnocny,Celebes Północny,Celebes Septentrional,Celebes Setentrional,Célebes Septentrional,Daerah Tingkat I Sulawesi Utara,Kaaba Sulawesi,Kuzey Sulawesi,Noord-Celebes,Nord-Sulawesi,Norda Sulaveso,North Sulawesi,Pak Sulawesi,Pet Su-la-vi-si-sen,Pet Sû-lâ-vî-sî-sén,Pivnichne Sulavesi,Pohjois-Sulawesi,Pravincyja Paunochny Sulavesi,Propinsi Sulawesi Utara,Provinsi Sulawesi Utara,Severni Sulavesi,Severni Sulawesi,Severno Sulavesi,Severnyj Sulavesi,Severní Sulawesi,Shimoliy Sulawesi,Siaures Sulavesis,Simal Sulawesi,Sulavesii Shimol,Sulawesi Baroh,Sulawesi Kaler,Sulawesi Kalér,Sulawesi Kaskazini,Sulawesi Lor,Sulawesi Settentrionale,Sulawesi Utara,Sulawesi du Nord,Sulawèsi Barôh,Tүndik Sulavesi,Tүndүk Sulavesi,Tөn'jak Sulavesi,Umar Sulavesi,Woqooyi Sulawesi,bei su la wei xi,bei su la wei xi sheng,beisuraueshi zhou,chrdiloeti sulavesi,semeni sulawawesi,shmaly swlawysy,sullawesiutala ju,swlawsy alshmalyt,swlawsy shmaly,utara sulavesi,uttara sula'oyesi,uttara sulavesi,Şimal Sulawesi,Šiaurės Sulavesis,Правінцыя Паўночны Сулавесі,Північне Сулавесі,Северни Сулавеси,Северно Сулавеси,Северный Сулавеси,Сулавесии Шимол,Түндік Сулавеси,Түндүк Сулавеси,Төньяк Сулавеси,Умар Сулавеси,سولاوسي الشمالية,سولاوسی شمالی,شمالي سولاویسی,شمالی سولاویسی,صوبہ اتلا سولاویسی,उत्तर सुलावेसी,উত্তর সুলাওয়েসি,ਉੱਤਰ ਸੁਲਾਵੇਸੀ,ჩრდილოეთი სულავესი,ሰሜን ሱላዋዌሲ,北スラウェシ州,北苏拉威西省,北蘇拉威西,北蘇拉威西省,술라웨시우타라 주
ADM1|22||1626230|Sulawesi Tenggara|-4.3935|122.2149|Cənub-Sərq Sulawesi,Cənub-Şərq Sulawesi,Daerah Tingkat I Sulawesi Tenggara,Janubi-Sharqiy Sulawesi,Kibbaa-Baafata Sulawesi,Koonfur-Xagejifka Sulawesi,Kudu-Gabas Sulawesi,Propinsi Sulawesi Tenggara,Provinsi Sulawesi Tenggara,Southeast Sulawesi,Sulavesii Ҷanubi-Sharkˌi,Sulawesi Kidul-Wetan,Sulawesi Kidul-Wétan,Sulawesi Kusini-Mashariki,Sulawesi Sudeste,Sulawesi Suroriental,Sulawesi Tenggara,Sulawesi du Sud-Est,Tүshtүk-chygysh Sulavesi,Tүsinigi-shygysty Sulavesi,dakhana-purava sulavesi,daksinapurba sula'oyesi,debubi-ምsiraqi sulawawesi,nan dongsuraueshi zhou,swlawsy jnwb‌shrqy,swyl khtyځ swlawysy,Сулавесии Ҷануби-Шарқӣ,Түсінігі-шығысты Сулавеси,Түштүк-чыгыш Сулавеси,سولاوسی جنوب‌شرقی,سویل ختیځ سولاویسی,দক্ষিণপূর্ব সুলাওয়েসি,ਦੱਖਣ-ਪੂਰਵ ਸੁਲਾਵੇਸੀ,ደቡብ-ምስራቅ ሱላዋዌሲ,南東スラウェシ州
ADM1|21||1626231|Sulawesi Tengah|-0.9166|122.3538|Borbor Sulavesi,Butnga nga Sulawesi,Celebas del Centre,Celebes Central,Celebes Srodkowy,Celebes Środkowy,Centra Sulaveso,Central Sulawesi,Central'ne Sulavesi,Central'nyj Sulavesi,Centralni Sulavesi,Centralno Sulavesi,Centrinis Sulavesis,Chung Su-la-vi-si-sen,Chûng Sû-lâ-vî-sî-sén,Célebes Central,Daerah Tingkat I Sulawesi Tengah,Dhexe Sulawesi,Dung Sulawesi,Dṳ̆ng Sulawesi,Giddu Sulawesi,Keski-Sulawesi,Markaziy Sulawesi,Midden-Celebes,Mərkəzi Sulawesi,Orta Sulawesi,Ortalykˌ Sulavesi,Pravincyja Cehntral'ny Sulavesi,Propinsi Sulawesi Tengah,Provinsi Sulawesi Tengah,Stredni Sulawesi,Střední Sulawesi,Sulavesii Markazi,Sulawesi Centrale,Sulawesi Kati,Sulawesi Tengah,Sulawesi central,Trung Sulawesi,Tsakiyar Sulawesi,kendari sulavesi,kendriya sula'oyesi,madhya sulavesi,mekakelenya sulawawesi,mrkzy swlawysy,sullawesiteung-a ju,swlawsy alwsty,swlawsy mrkzy,wsty swlawysy,zhong busuraueshi zhou,zhong su la wei xi,zhong su la wei xi sheng,Борбор Сулавеси,Орталық Сулавеси,Правінцыя Цэнтральны Сулавесі,Сулавесии Марказӣ,Төв Сулавеси,Централни Сулавеси,Централно Сулавеси,Центральне Сулавесі,Центральный Сулавеси,Үzək Sulavesi,Үзәк Сулавеси,سولاوسي الوسطى,سولاوسی مرکزی,صوبہ گھبلا سولاویسی,مرکزی سولاویسی,وسطی سولاویسی,मध्य सुलावेसी,কেন্দ্রীয় সুলাওয়েসি,ਕੇਂਦਰੀ ਸੁਲਾਵੇਸੀ,ცენტრალური სულავესი,መካከለኛ ሱላዋዌሲ,中苏拉威西省,中蘇拉威西,中蘇拉威西省,中部スラウェシ州,술라웨시틍아 주
ADM1|38||1626232|Provinsi Sulawesi Selatan|-4.33333|120.25|Celebes Poludniowy,Celebes Południowy,Cənub Sulawesi,Daerah Tingkat I Sulawesi Selatan,Etelae-Sulawesi,Etelä-Sulawesi,Janubiy Sulawesi,Kibbaa Sulawesi,Koonfur Sulawesi,Kudu Sulawesi,Kөn'jak Sulavesi,Oңtүstik Sulavesi,Propinsi Sulawesi Selatan,Provinsi Sulawesi Selatan,South Sulawesi,Sulavesii Ҷanub,Sulawesi Kidul,Sulawesi Kusini,Sulawesi Meridional,Sulawesi Meridionale,Sulawesi Selatan,Sulawesi du Sud,Tүshtүk Sulavesi,Zuid-Celebes,dakhana sulavesi,daksina sula'oyesi,debubi sulawawesi,nansuraueshi,nansuraueshi zhou,swlawsy aljnwbyt,swlawsy jnwby,swyly swlawysy,Көньяк Сулавеси,Оңтүстік Сулавеси,Сулавесии Ҷануб,Түштүк Сулавеси,سولاوسي الجنوبية,سولاوسی جنوبی,سویلي سولاویسی,দক্ষিণ সুলাওয়েসি,ਦੱਖਣ ਸੁਲਾਵੇਸੀ,ደቡብ ሱላዋዌሲ,南スラウェシ,南スラウェシ州
ADM2|07|3311|1626271|Kabupaten Sukoharjo|-7.67889|110.86389|Daerah Tingkat II Sukohardjo,Kabupaten Sukohardjo,Kabupaten Sukoharjo,Sukoharjo,Sukoharjo Regency
ADM2|30|3272|1626379|Kota Sukabumi|-6.93333|106.93333|Kota Sukabumi,Kotamadya Sukabumi,Kotapradja Sukabumi,Sukabumi
ADM2|30|3202|1626380|Kabupaten Sukabumi|-7.07278|106.74333|Daerah Tingkat II Sukabumi,Kabupaten Sukabumi,Sukabumi,Sukabumi Regency
ADM2|PD|9107|1626541|Kabupaten Sorong|-1.1|131.51667|Daerah Tingkat II Manokwari,Kabupaten Sorong,Sorong Regency
ADM2|24|1372|1626645|Kota Solok|-0.77853|100.63982|Kota Solok,Kotamadya Solok,Kotapradja Solok,Solok Regency
ADM2|24|1303|1626646|Kabupaten Solok|-0.96667|100.83333|Daerah Tingkat II Solok,Kabupaten Solok,Solok Regency
ADM2|11|6107|1626886|Kabupaten Sintang|-0.08333|112.08333|Daerah Tingkat II Sintang,Kabupaten Sintang,Sintang,Sintang Regency
ADM2|38|7307|1626894|Kabupaten Sinjai|-5.2|120.13333|Daerah Tingkat II Sindjai,Kabupaten Sindjai,Kabupaten Sinjai,Sinjai
ADM2|18|5310|1627182|Kabupaten Sikka|-8.68333|122.33333|Daerah Tingkat II Sika,Kabupaten Sika,Kabupaten Sikka,Sikka Regency
ADM2|08|3515|1627252|Kabupaten Sidoarjo|-7.45|112.7|Daerah Tingkat II Sidoardjo,Kabupaten Sidoardjo,Kabupaten Sidoarjo,Sidoarjo,Sidoarjo Regency
ADM2|38|7314|1627258|Kabupaten Sidenreng Rappang|-3.86667|119.96667|Daerah Tingkat II Sidenreng-Rappang,Kabupaten Sidenreng Rappang,Kabupaten Sidenreng-Rapang,Kabupaten Sidenrengrappang,Sidenreng,Sidenreng Rappang,Sidenreng Rappang Regency
ADM2|13|6208|1627443|Kabupaten Seruyan|-2.55|112.25|Kabupaten Serujan,Kabupaten Seruyan,Seruyan Regency
ADM2|33|3604|1627545|Kabupaten Serang|-6.15|105.96667|Daerah Tingkat II Serang,Kabupaten Serang,Serang Regency
ADM2|07|3374|1627893|Kota Semarang|-7.025|110.385|Kota Semarang,Kotamadya Semarang,Kotapradja Semarang,Semarang
ADM2|38|7301|1628015|Selayar Islands Regency|-6.81667|120.8|Daerah Tingkat II Selajar,Kabupaten Kepulauan Selayar,Kabupaten Selajar,Kabupaten Selayar,Selayar Islands Regency
ADM2|24|1373|1628471|Kota Sawah Lunto|-0.6|100.75|Kota Sawah Lunto,Kotamadya Sawahlunto,Kotapradja Sawahlunto,Sawah Lunto
ADM2|05|1503|1628580|Kabupaten Sarolangun|-2.26667|102.73333|Kabupaten Sarolangun,Kabupaten Sarolangun II,Sarolangun Regency
ADM2|31|7103|1628775|Kabupaten Kepulauan Sangihe|3.55|125.55|Daerah Tingkat II Kepulauan Sangihe dan Talaud,Daerah Tingkat II Kepulauan Sangihe-Talaud,Kabupaten Kepulauan Sangihe,Kabupaten Kepulauan Sangihe dan Talaud,Kabupaten Sangihe-Talaud,Kabupaten Sangir Talaud,Kepulauan Sangihe Talaut,Sangihe Islands Regency
ADM2|11|6105|1628799|Kabupaten Sanggau|0.21667|110.46667|Daerah Tingkat II Sanggau,Kabupaten Sanggau,Sanggau Regency
ADM2|08|3527|1628896|Kabupaten Sampang|-7.05|113.25|Daerah Tingkat II Sampang,Kabupaten Sampang,Sampang,Sampang Regency
ADM2|11|6101|1628978|Kabupaten Sambas|1.43333|109.35|Daerah Tingkat II Sambas,Kabupaten Sambas,Sambas Regency
ADM2|14|6472|1629000|Kota Samarinda|-0.5|117.14|Kota Samarinda,Kotamadya Samarinda,Kotapradja Samarinda
ADM1|37||1629652|Provinsi Riau|0.5005|101.749|Daerah Tingkat I Riau,Propinsi Riau,Provinsi Riau,Riau,Riauw,Riouw,Riyo,ri'a'u,riau zhou,riya'u,riyaው,ryaw,Риау,ریاو,রিয়াউ,ਰਿਆਉ,ሪያው,リアウ州
ADM2|07|3317|1629746|Kabupaten Rembang|-6.78333|111.46667|Daerah Tingkat II Rembang,Kabupaten Rembang,Rembang,Rembang Regency
ADM2|03|1702|1629764|Kabupaten Rejang Lebong|-3.41667|102.71667|Daerah Tingkat II Redjang Lebong,Kabupaten Redjang Lebong,Kabupaten Rejang Lebong,Kabupaten Rejanglebong,Rejang Lebong Regency
ADM2|PD|9108|1630210|Kabupaten Raja Ampat|-1.86521|130.06648|Kabupaten Raja Ampat,Raja Ampat Regency
